iter	Passed	Remaining
0	18	18007
1	38	18979
2	62	20765
3	103	25711
4	122	24393
5	156	25881
6	198	28096
7	263	32642
8	329	36288
9	425	42127
10	520	46758
11	609	50175
12	694	52727
13	758	53427
14	807	53045
15	854	52559
16	912	52767
17	983	53652
18	1002	51767
19	1025	50240
20	1043	48670
21	1062	47230
22	1081	45927
23	1099	44719
24	1118	43609
25	1136	42593
26	1156	41661
27	1174	40775
28	1195	40034
29	1214	39275
30	1235	38607
31	1253	37914
32	1276	37419
33	1295	36801
34	1313	36213
35	1330	35624
36	1348	35104
37	1367	34608
38	1386	34171
39	1407	33783
40	1426	33369
41	1445	32966
42	1464	32589
43	1484	32251
44	1501	31863
45	1519	31508
46	1537	31166
47	1555	30849
48	1573	30529
49	1594	30295
50	1614	30042
51	1633	29771
52	1650	29498
53	1668	29222
54	1685	28967
55	1703	28719
56	1723	28520
57	1741	28289
58	1760	28072
59	1778	27855
60	1798	27686
61	1819	27523
62	1839	27352
63	1856	27152
64	1875	26978
65	1893	26800
66	1912	26628
67	1931	26470
68	1949	26306
69	1969	26163
70	1987	26006
71	2008	25890
72	2027	25752
73	2044	25588
74	2063	25444
75	2082	25314
76	2099	25167
77	2116	25015
78	2134	24879
79	2151	24747
80	2170	24630
81	2188	24501
82	2207	24393
83	2229	24310
84	2250	24225
85	2266	24088
86	2284	23978
87	2303	23872
88	2321	23758
89	2339	23651
90	2357	23547
91	2375	23441
92	2393	23347
93	2414	23271
94	2434	23194
95	2455	23126
96	2474	23036
97	2494	22959
98	2512	22865
99	2531	22781
100	2549	22693
101	2568	22615
102	2586	22525
103	2604	22438
104	2625	22377
105	2646	22317
106	2664	22240
107	2684	22168
108	2702	22091
109	2720	22013
110	2739	21941
111	2758	21869
112	2776	21790
113	2793	21713
114	2812	21641
115	2832	21582
116	2853	21538
117	2872	21467
118	2893	21419
119	2911	21350
120	2928	21277
121	2949	21223
122	2967	21160
123	2988	21114
124	3006	21045
125	3024	20981
126	3047	20945
127	3065	20884
128	3087	20845
129	3106	20791
130	3125	20730
131	3142	20666
132	3160	20600
133	3176	20528
134	3194	20470
135	3213	20415
136	3232	20362
137	3252	20313
138	3271	20263
139	3289	20208
140	3308	20154
141	3326	20101
142	3346	20055
143	3365	20006
144	3384	19954
145	3402	19903
146	3422	19857
147	3439	19801
148	3462	19775
149	3481	19730
150	3502	19695
151	3530	19698
152	3548	19646
153	3568	19602
154	3586	19551
155	3603	19498
156	3622	19451
157	3641	19403
158	3662	19372
159	3681	19328
160	3704	19303
161	3722	19254
162	3740	19206
163	3762	19181
164	3780	19129
165	3798	19085
166	3816	19038
167	3834	18990
168	3853	18947
169	3874	18915
170	3896	18888
171	3916	18852
172	3935	18814
173	3954	18773
174	3974	18735
175	3991	18688
176	4009	18642
177	4027	18599
178	4046	18557
179	4064	18514
180	4086	18488
181	4107	18463
182	4126	18423
183	4146	18388
184	4164	18345
185	4182	18302
186	4201	18267
187	4221	18232
188	4239	18191
189	4258	18155
190	4277	18118
